,X,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,ArtistFamiliarity,Hotness,end_of_fade_in,key,Loudness,mode,mode_confidence,rank,hit
2153,2153,0.715,151.368,4,0.386,crazy,2006,0.558047265,0.343638699,2.055,3,-5.948,1,0.612,7,1
2154,2154,0.628,122.655,5,0.221,escape,2002,0.605413844,0.424134563,0,7,-7.949,1,0.512,57,0
2155,2155,1,127.824,4,0.528,praying for time,1990,0.80310547,0.5457307,2.624,10,-12.865,1,0.744,51,0
2156,2156,0.599,93.314,3,0.841,summertime,1991,0.418730406,0.315346927,0,0,-17.879,0,0.658,38,1
2157,2157,0,87.989,4,0.895,finally,1992,0.439972782,0,0.107,1,-7.186,1,0,20,1
2158,2158,0.687,121.979,4,0.792,you should be dancing,1976,0.367823866,0.25223164,0.334,0,-15.55,1,0.559,31,1
2159,2159,0.518,106.976,3,0.749,my cup runneth over,1967,0.375978176,0.290657621,2.543,0,-13.819,1,0.411,46,1
2160,2160,0.472,101.51,4,1,billionaire,2010,0.852569498,0.701404766,2.595,5,-6.304,1,0.258,23,1
2161,2161,0.484,98.06,4,0.77,say you will,1988,0.507139893,0.320250255,0.369,6,-10.235,1,0.485,73,0
2163,2163,0.618,166.777,1,0.237,when a man loves a woman,1992,0.274613283,0,0.165,0,-12.142,1,0.699,54,0
2164,2164,0.7,134.934,4,0.026,victory,1998,0.609681245,0.380463669,0,2,-10.817,1,0.603,68,0
2166,2166,0.562,139.738,4,0,lately,1999,0.82785377,0.517328584,0.247,2,-3.762,1,0.544,31,1
2167,2167,0.696,143.728,4,0,renegade,1979,0.691744458,0.471398998,0.764,2,-22.329,1,0.716,67,0
2168,2168,0.402,66.497,3,0.876,love,2006,0.565892742,0.408152753,0.357,9,-10.559,0,0.264,93,0
2169,2169,0.2,152.025,4,0.779,careless whisper,1985,0.319704942,0,0.972,2,-9.936,0,0.345,1,1
2170,2170,0.596,199.93,7,0.694,hold on,1995,0.562112051,0.372158066,0.276,4,-11.526,0,0.418,52,0
2171,2171,0.782,105.658,4,0.209,an innocent man,1984,0.817287674,0.56296489,0,0,-8.634,1,0.713,72,0
2172,2172,0.294,135.259,4,0.967,karma,2005,0.560264677,0.417554804,0.061,5,-6.057,1,0.413,56,0
2173,2173,0.74,133.87,4,0.04,only you,1996,0.650438086,0.433753844,0.136,7,-5.601,1,0.68,34,1
2174,2174,0.075,98.922,4,1,you,2007,0.507973541,0.303245782,0,4,-10.959,0,0.27,40,1
2175,2175,0.356,120.181,3,0.244,bubbly,2008,0.847197802,0.633140196,0.525,4,-12.851,1,0.524,21,1
2176,2176,0.334,90.014,4,1,talk to me,1986,0.619800665,0.390524987,0.432,7,-8.65,0,0.541,57,0
2177,2177,0.17,127.965,4,0,on fire,2004,0.337709442,0.339207206,0.223,10,-5.996,0,0.568,55,0
2178,2178,0.296,127.994,4,0.648,love,2006,0.25014817,0,0,5,-10.052,0,0.405,93,0
2180,2180,0.506,110.113,3,0.815,another one bites the dust,1981,0.721708857,0.55019211,0.2,4,-11.532,0,0.64,65,0
2181,2181,0,152.002,4,0.881,nikita,1986,0.554880177,0.440917125,0,7,-5.129,1,0.304,87,0
2182,2182,0.176,84.289,5,0.469,dancing on the ceiling,1986,0.445834428,0.354507236,0.275,0,-14.91,1,0.446,39,1
2183,2183,0.126,86.679,5,0.463,dreams,1994,0.507258204,0.245973155,0.194,10,-7.693,0,0.097,75,0
2184,2184,0.787,151.432,4,0.462,tonight,1984,0.708368204,0.459809422,0,4,-4.857,0,0.624,90,0
2186,2186,0.455,119.968,3,0.763,hold on,1995,0.599786304,0.38704139,0.967,0,-9.775,1,0.283,52,0
2187,2187,0,93.991,4,1,damn,2004,0.720166641,0.448460659,0,1,-8.817,1,0.212,68,0
2188,2188,0.503,129.177,1,0,angel,2003,0.753429747,0.445756061,0.102,3,-20.43,0,0.515,69,0
2189,2189,0.194,127.16,4,0,far away,2007,0.629578512,0.554674153,0.125,9,-6.688,0,0.229,94,0
2190,2190,0.508,97.073,4,1,top of the world,1974,0.702641043,0.497116596,0.485,1,-8.227,1,0.597,39,1
2191,2191,0.481,115.006,4,0.571,one,1999,0.402867825,0.351528258,0.102,7,-12.154,1,0.629,70,0
2192,2192,1,85.982,4,0,live and let die,1973,0.521815465,0.432231412,3.117,5,-4.982,0,0.93,56,0
2193,2193,0.62,124.025,5,1,shadow dancing,1978,0.632379677,0.443197208,0,7,-10.413,1,0.657,1,1
2194,2194,0.553,150.076,5,0.562,sweet dreams,2010,0.384746173,0.290672963,0.237,5,-16.586,1,0.477,86,0
2195,2195,0.757,188.737,4,0.818,heaven,2004,0.702753913,0.427222368,0,10,-9.477,0,0.474,37,1
2196,2196,0.592,134.82,1,0.267,talking in your sleep,1984,0.503439609,0.365815355,0.304,8,-10.19,1,0.618,19,1
2197,2197,0.646,127.98,4,0,never,1986,0.495937863,0.367631101,2.403,0,-4.254,0,0.758,18,1
2198,2198,0.803,164.009,4,1,i do,2002,0.556585409,0.385570935,0,6,-6.093,0,0.683,100,0
2199,2199,0.692,85.356,3,1,in the end,2002,0.610115035,0.352865752,0.392,10,-14.352,0,0.7,7,1
2200,2200,0.401,178.203,4,0,all i need,1985,0.397556128,0.315785872,0.217,10,-14.034,0,0.231,42,1
2202,2202,0.111,95.049,4,0.582,music,2001,0.67573125,0.464871218,0,7,-7.978,0,0.375,83,0
2203,2203,0.221,152.879,4,0,celebration,1981,0.677586316,0.412074694,0.826,9,-6.185,1,0.232,6,1
2204,2204,0.082,188.769,4,0,love is blue,1968,0.378013152,0.339408486,0.287,9,-14.754,1,0.353,2,1
2205,2205,0.799,113.621,4,0.604,sunshine,2004,0.398790502,0.208951558,0.426,4,-9.514,1,0.738,20,1
2206,2206,0.524,153.907,4,0.212,fortunate,1999,0.633872572,0.353030988,0.075,1,-5.277,1,0.578,24,1
2207,2207,0.474,155.608,3,0.927,tattoo,2008,0.555763678,0.349913383,0.311,3,-8.427,0,0.59,30,1
2209,2209,0.206,125.728,4,0.764,alone,1987,0.618674885,0.228397358,0,2,-5.887,0,0.508,2,1
2210,2210,0.135,167.887,4,0.566,woman,1981,0.517065933,0.369518643,0.345,3,-13.89,1,0.385,21,1
2211,2211,0.843,137.027,4,0,young girl,1968,0.545232133,0.455561559,0.206,7,-4.643,1,0.64,15,1
2212,2212,0.673,137.817,1,0,here i am,1982,0.384915001,0.281704492,0.345,2,-15.593,1,0.602,80,0
2214,2214,0.547,90.953,3,0.71,cover me,1984,0.546727554,0.386180416,0,2,-9.983,1,0.575,67,0
2215,2215,0.073,86.311,4,0.694,faith,1988,0.615481966,0.465500675,0.462,2,-17.182,1,0.565,1,1
2216,2216,0.557,96.906,4,1,lean back,2004,0.62136191,0.395073819,0.218,1,-4.145,1,0.594,10,1
2217,2217,0.322,101.078,4,0,war,1970,0.494600973,0.287131824,0.258,4,-6.758,1,0.417,5,1
2218,2218,0.579,119.402,4,0.227,poison,1990,0.838924311,0.607792751,2.566,5,-7.705,1,0.586,4,1
2219,2219,0.675,94.52,4,1,my love,2007,0.589183976,0.389362076,0.166,10,-14.85,0,0.758,26,1
2220,2220,0.488,100.452,4,0.796,addicted,2008,0.584243108,0.369997654,0.305,8,-13.113,1,0.636,97,0
2221,2221,0.208,87.805,4,0.88,time,1996,0.596177786,0.391806139,0.218,6,-7.268,1,0.515,50,0
2222,2222,0.386,140.034,4,0.335,feelings,1975,0.642496672,0.429164397,0.444,1,-15.396,1,0.312,45,1
2223,2223,0.362,104.841,4,0,invisible man,1997,0.78446386,0.468525724,0,11,-11.267,1,0.463,45,1
2224,2224,0.381,132.112,4,0.208,let it whip,1982,0.585245506,0.401979404,5.364,0,-6.964,1,0.243,24,1
2225,2225,0.872,116.957,4,0.183,third rate romance,1975,0.591495615,0.516156082,0,10,-8.018,1,0.706,97,0
2227,2227,0.418,122.764,7,0.958,the way of love,1972,0.481180212,0.379495651,6.467,11,-10.947,0,0.493,62,0
2228,2228,0.378,140.212,4,0.57,tender love,1986,0.664690939,0.429261029,0.189,8,-5.755,1,0.579,95,0
2229,2229,0.582,199.716,4,0,smiling faces sometimes,1971,0.558004202,0.415402377,0,11,-12.839,0,0.567,14,1
2230,2230,0.356,109.46,4,0,knock on wood,1979,0.533567194,0.41367765,0,4,-13.429,1,0.424,22,1
2231,2231,0.131,160.061,4,0.424,fly away,1999,0.781564312,0.610060626,0.276,7,-4.831,0,0.423,29,1
2232,2232,0.205,126.788,4,0.809,lose control,2005,0.453232881,0.269527529,0,9,-8.98,1,0.416,14,1
2233,2233,0.722,120.949,4,0,all i want,1992,0.386141126,0.315591256,0,11,-9.041,1,0.524,53,0
2234,2234,0.15,151.017,4,0.558,wait,1988,0.707588355,0.485348697,0,6,-7.248,0,0.389,99,0
2235,2235,0.76,124.069,4,0.066,little willy,1973,0.765116847,0.578443629,0.549,3,-2.28,0,0.637,18,1
2236,2236,0.211,106.826,4,0.856,something to believe in,1991,0.839297678,0.776303264,2.159,4,-6.412,0,0.363,78,0
2237,2237,0.183,91.707,4,0,alone,1987,0.590959002,0.356984154,0,1,-13.836,1,0.534,2,1
2238,2238,0.155,132.965,4,0.151,rise,1980,0.8036843,0.488099438,0.229,2,-2.036,1,0.566,54,0
2239,2239,0.597,150.222,4,0.212,why,2004,0.696019663,0.43935168,0.229,0,-7.559,0,0.629,62,0
2240,2240,0.814,82.556,4,0,i know,1995,0.414265688,0.281589273,0.479,2,-15.961,1,0.648,11,1
2241,2241,0.717,109.564,4,1,because of you,2007,0.548427643,0.383851375,0.723,0,-9.792,1,0.274,57,0
2242,2242,0.43,125.955,4,0.886,music,2001,0.608589479,0.439360635,0.27,11,-6.215,0,0.321,83,0
2243,2243,0.19,136.04,4,0.406,never again,2007,0.686812987,0.684478823,0,0,-7.308,1,0.243,70,0
2244,2244,0.273,100.74,5,1,a different corner,1986,0.80310547,0.5457307,0.183,8,-14.136,0,0.581,98,0
2245,2245,0.619,166.864,4,0.624,goodbye,2009,0.602360575,0.383249214,0.311,7,-12.137,1,0.49,96,0
2246,2246,0.463,129.984,4,0.005,one more chance,1995,0.827776802,0.537799608,0.421,9,-6.255,0,0.487,23,1
2247,2247,0.191,158.082,4,0.565,la bamba,1987,0.397466552,0,0.309,0,-7.26,1,0.523,11,1
2248,2248,0.518,158.311,4,0,you,2007,0.742098567,0.427419671,0.287,9,-19.77,0,0.564,40,1
2249,2249,0.37,147.145,1,0,head over heels,1985,0.68181605,0.463726745,0.107,4,-5.039,0,0.315,60,0
2250,2250,0.628,139.988,4,0.445,good morning starshine,1969,0.558903438,0.399441722,0.177,0,-13.558,1,0.378,43,1
2251,2251,0.153,155.019,4,0.601,hot girls in love,1983,0.639255927,0.537487505,0,4,-7.047,1,0.259,75,0
2252,2252,0.326,121.952,4,1,hold on,1995,0.547083537,0.352189384,0.13,7,-6.759,1,0.438,52,0
2253,2253,0.934,72.594,1,0.722,the power,1990,0.71881021,0.463900095,2.334,10,-7.426,0,0.777,26,1
2254,2254,0.861,90.169,4,0.658,the air that i breathe,1974,0.691605412,0.45783492,0.311,4,-16.191,1,0.649,50,0
2255,2255,0.718,149.764,3,0.807,dandy,1966,0.578707219,0.407532926,0.287,7,-15.846,1,0.847,91,0
2256,2256,0.427,83.745,4,0.631,incomplete,2005,0.619206538,0.144684661,0.233,1,-4.697,1,0.401,64,0
2257,2257,0.667,113.011,4,0.564,over you,1968,0.66866765,0.47440306,0.369,6,-6.228,0,0.694,73,0
2258,2258,0.048,111.476,4,1,rub you the right way,1990,0.592996702,0.37721362,0,1,-6.401,1,0.135,23,1
2259,2259,0.309,196.142,4,0.685,believe,1999,0.574217407,0.422079505,0.212,2,-7.038,1,0.399,1,1
2260,2260,0.812,91.54,3,1,december,1995,0.768402334,0.627111664,3.855,0,-16.603,1,0.631,41,1
2261,2261,0.791,94.723,4,0.9,slam,1993,0.519902571,0.317571483,0.178,4,-10.605,0,0.696,37,1
2262,2262,0.441,150.037,4,0.841,say it,1998,0.686576736,0.453552539,0,11,-3.146,1,0.391,45,1
2264,2264,0.643,124.045,3,1,africa,1983,0.660889236,0.440174159,2.2,6,-3.943,1,0.615,24,1
2265,2265,0.603,91.301,3,1,mesmerize,2003,0.307647603,0.198703353,0.763,9,-6.543,0,0.401,25,1
2266,2266,0,86.169,4,0.555,all i wanna do,1995,0.324128628,0.191193993,0,4,-15.927,1,0,67,0
2267,2267,0.515,145.968,1,0,romeo,1990,0.667898814,0.450526468,0.433,0,-6.908,1,0.621,80,0
2268,2268,0.367,142.279,4,1,baby,2010,0.498516074,0.328441782,0,6,-6.288,1,0.451,44,1
2269,2269,0.893,137.049,4,0.826,angel,2003,0.673238691,0.479204558,2.961,0,-13.209,1,0.696,69,0
2270,2270,0.533,202.148,1,0,vehicle,1970,0.441926386,0.420795159,0.348,10,-6.325,0,0.522,85,0
2271,2271,0.072,80.259,3,0.769,amazing grace,1971,0.632894058,0.471146456,0,0,-13.653,1,0.474,80,0
2272,2272,0.001,190.546,4,0,theme from shaft,1971,0.485614891,0.350069423,0.514,2,-7.77,1,0.263,89,0
2273,2273,0.849,182.731,4,1,get ready,1970,0.340179166,0.319310162,0,5,-5.304,1,0.882,8,1
2274,2274,0.717,149.899,4,0.712,have you ever,1999,0.432248393,0.264085556,0.113,11,-4.708,0,0.582,14,1
2275,2275,0.343,141.818,5,0.501,together forever,1988,0.575840117,0.403424537,0.181,0,-11.481,1,0.498,44,1
2277,2277,0.156,127.957,4,0.689,let it rock,2009,0.764298922,0.525321596,0.316,0,-4.431,1,0.437,32,1
2278,2278,0.584,134.008,4,0.723,hold on,1995,0.248837815,0.291859634,0.206,7,-9.201,0,0.541,52,0
2279,2279,0.165,92.69,4,0.861,all falls down,2004,0.234261758,0.416152584,0.549,1,-4.84,0,0.238,47,1
2282,2282,0.565,98.226,4,0.789,living for the city,1974,0.712675251,0.563362694,0.473,1,-5.543,1,0.594,45,1
2283,2283,0.049,113.477,4,0.595,out of my head,1999,0.660401768,0.394498756,0.179,4,-3.766,0,0.261,88,0
2285,2285,0.05,98.187,4,0.673,tired of being alone,1971,0.796753672,0.583647053,0.077,7,-10.171,1,0.4,12,1
2286,2286,0.339,132.954,7,0.749,i kissed a girl,2008,0.528815457,0,0.948,9,-13.219,0,0.539,14,1
2288,2288,1,136.099,4,0.936,always,1995,0.843526543,0.750311503,2.572,2,-5.618,1,0.956,17,1
2289,2289,0.988,122.529,4,0.313,king of the road,1965,0.65129754,0.417870578,0,11,-11.233,1,0.674,12,1
2290,2290,0.174,95.228,5,0.876,obsession,1985,0.610115035,0.352865752,0.136,10,-17.758,0,0.42,56,0
2291,2291,0.085,171.067,4,0.298,love in this club,2008,0.703200978,0.511482719,0.131,11,-7.014,1,0.569,8,1
2292,2292,0.159,157.582,4,0.988,southside,2004,0.892622639,0.63060375,0,1,-6.375,1,0.347,84,0
2293,2293,0.515,133.881,4,0.242,i believe,1995,0.639999317,0.507330128,0,9,-10.872,1,0.353,27,1
2294,2294,0.664,90.452,5,0.378,dangerous,2008,0.551537248,0.318848793,0.328,2,-7.718,1,0.512,29,1
2295,2295,0.031,138.816,1,0,down,2010,0.525390225,0.385585788,0,7,-5.112,1,0.314,41,1
2296,2296,0.73,124.464,4,1,alone,1987,0.587241877,0.462745415,0.2,0,-15.531,1,0.657,2,1
2297,2297,0.248,123.207,4,0.366,september,1979,0.752058096,0.48637051,0.213,0,-6.441,1,0.427,78,0
2298,2298,0.347,137.904,4,0.991,always and forever,1978,0.671992294,0.50241722,0,0,-4.054,1,0.56,75,0
2299,2299,0.619,102.828,4,0.173,come with me,1998,0.611709847,0.383944878,0.194,10,-10.383,0,0.589,47,1
2300,2300,0.352,130.079,4,0.859,celebration,1981,0.335269011,0.292457626,0.212,2,-8.992,1,0.301,6,1
2302,2302,0.656,88.394,3,0.856,you and i,1983,0.70242539,0.527993113,0.38,1,-6.601,0,0.736,12,1
2303,2303,0.557,173.955,3,0.936,election day,1986,0.514105743,0.35133344,0,4,-12.188,0,0.539,86,0
2304,2304,0.257,114.573,4,0,breaking up is hard to do,1976,0.720842183,0.444025681,0.369,4,-3.039,1,0.323,91,0
2305,2305,0.661,103.958,4,0.086,here you come again,1978,0.765263788,0.594469275,0.45,1,-9.962,1,0.679,60,0
2306,2306,0.115,170.135,1,0.45,open your heart,1987,0.60559047,0.373237755,0,4,-7.295,1,0.134,30,1
2307,2307,0.154,125.765,4,0.72,always,1995,0.443432901,0.324340527,0,5,-16.133,0,0.419,17,1
2308,2308,0.582,132.591,4,0.112,easy,1977,0.685017577,0.504114015,0.365,10,-15.019,0,0.63,33,1
2310,2310,0.662,133.982,4,0.418,shine,1994,0.621620585,0.375837307,0.076,2,-6.097,1,0.683,31,1
2311,2311,0.92,184.518,1,0,1999,1983,0.563013868,0.435429063,0,11,-7.834,1,0.604,41,1
2312,2312,0.181,95.215,4,0.885,smile,2010,0.680332846,0.397803707,2.432,9,-5.949,1,0.328,97,0
2313,2313,0.07,88.651,3,1,get down,1973,0.53937169,0.357941477,0.961,9,-7.82,1,0.396,66,0
2314,2314,0.458,153.473,1,0,to love somebody,1993,0.493267341,0.291281234,0.154,9,-11.051,1,0.481,83,0
2315,2315,0.58,100.405,4,0.045,TRUE,2005,0.546324404,0.343871327,0.432,9,-12.821,0,0.618,90,0
2316,2316,0.438,91.894,3,0.827,traces,1969,0.31569241,0.263509097,0.252,9,-22.154,0,0.524,54,0
2317,2317,0.605,199.434,1,0,summer of 69,1985,0.763010513,0.52963188,1.051,8,-5.573,1,0.529,74,0
2318,2318,0.796,86.021,4,0.954,hold on,1995,0.607260129,0.403000799,0,10,-11.049,1,0.562,52,0
2319,2319,0.108,125.23,4,0.277,joy to the world,1971,0.77441152,0.641347951,0.107,2,-14.746,1,0.262,1,1
2320,2320,0.304,111.71,4,0.932,step by step,1990,0.491071814,0.302255689,0,1,-8.327,1,0.349,33,1
2321,2321,0.526,106.664,1,0.943,miss you,2003,0.458473587,0.34540051,0.368,0,-4.658,0,0.588,8,1
2322,2322,0.676,163.861,4,0.969,music,2001,0.659774285,0.396826833,0,1,-8.357,1,0.682,83,0
2323,2323,0.797,107.951,4,0.99,islands in the stream,1984,0.538401963,0.379278435,0.117,5,-14.101,1,0.512,56,0
2324,2324,0.731,115.375,4,0.857,liar,1971,0.392215945,0,0,1,-5.974,1,0.515,69,0
2325,2325,0.494,117.993,4,1,always,1995,0.757408748,0.500247342,0,7,-5.42,1,0.525,17,1
2326,2326,0.26,130.059,3,0.559,we belong,1985,0.759875405,0.510687057,2.363,10,-6.941,0,0.354,39,1
2327,2327,0.065,114.815,4,0.592,say goodbye,2006,0.419312641,0.319651459,0,10,-8.329,0,0.422,86,0
2328,2328,0.071,107.704,4,0.142,rapture,1981,0.8112552,0.531694462,0.271,11,-12.35,0,0.233,15,1
2329,2329,0.613,191.044,4,0.128,sometimes,1999,0.501204114,0.390202824,0.304,5,-5.831,0,0.674,86,0
2331,2331,0.23,139.564,4,0.615,brown sugar,1995,0.814829656,0.776037656,4.725,7,-5.186,0,0,86,0
2332,2332,0.319,129.994,4,0.643,i love music,1976,0.557879637,0.318204865,0.328,8,-5.601,1,0.268,52,0
2333,2333,0.333,123.217,4,0.857,this magic moment,1969,0.547325147,0.359709363,0.386,0,-8.334,1,0.311,56,0
2334,2334,0.579,124.974,5,1,hey baby,2002,0.745489051,0.548561355,0.195,1,-9.845,1,0.545,32,1
2335,2335,0.463,111.971,4,0.706,after all,1989,0.499197621,0.472205752,2.595,5,-7.518,0,0.452,79,0
2336,2336,0.808,141.412,3,0.471,lido shuffle,1977,0.612634775,0.520554878,0,10,-6.191,1,0.51,74,0
2337,2337,0.789,159.993,4,0.914,missing you,2001,0.715753538,0.54421108,2.02,1,-9.843,1,0.668,49,1
2339,2339,0.185,101.946,4,0.205,crash and burn,2000,0.728209707,0.538070295,0,9,-3.853,1,0.188,78,0
2340,2340,0.302,147.871,4,0.613,i try,2000,0.74295114,0.500485978,3.698,2,-12.761,1,0.425,26,1
2342,2342,0.714,120.085,4,0.569,sunny,1966,0.42562724,0,0.202,0,-9.808,1,0.569,27,1
2344,2344,0.641,93.128,3,0.918,summertime,1991,0.545016845,0.446475001,4.522,9,-10.215,0,0.606,38,1
2345,2345,0.894,112.184,4,0.527,amazing grace,1971,0.386362912,0.408634736,0.427,8,-14.144,1,0.651,80,0
2346,2346,0.165,101.929,4,0.622,another day in paradise,1990,0.655921418,0.578301634,13.897,6,-11.697,1,0.562,7,1
2347,2347,0.423,168.144,4,1,my life,2008,0.777643654,0.16251986,0,1,-13.734,0,0.373,88,0
2348,2348,0.279,114.252,4,0.419,crazy,2006,0.641246512,0.478822598,0.351,0,-7.368,1,0.491,7,1
2349,2349,0,124.72,7,0.322,escape,2002,0.909324834,0.677087547,2.897,2,-19.416,1,0,57,0
2350,2350,0.042,133.039,4,0.006,children,1996,0.718233176,0.451534113,2.868,9,-18.657,0,0.348,65,0
2351,2351,0.32,125.954,4,0.752,circus,2009,0.655520653,0.451324321,0,7,-6.928,1,0.584,27,1
2352,2352,0,124.95,4,1,shout,1985,0.564636543,0.445587334,0,4,-9.322,0,0.205,21,1
2354,2354,0.92,131.035,4,0.328,saturday night,1976,0.588988037,0.360711925,0.095,6,-6.787,1,0.66,64,0
2355,2355,0.227,118.03,3,1,cross my broken heart,1987,0.565482351,0.391242506,0.218,0,-8.043,1,0.363,90,0
2356,2356,0.574,120.69,1,0,until it sleeps,1996,0.853917521,0.624765295,2.171,9,-8.905,0,0.708,92,0
2357,2357,0.058,78.683,5,0.795,fly away,1999,0.4301603,0.132329286,0,7,-8.142,1,0.527,29,1
2358,2358,0.702,125.972,4,0.692,lose control,2005,0.506430312,0.372616599,0,5,-7.265,0,0.614,14,1
2359,2359,0,120.03,4,0.525,always on my mind,1988,0.37229204,0.315884139,0.955,2,-6.89,0,0,80,0
2360,2360,0.362,114.781,4,0.307,the way you love me,2001,0.785640032,0.466120648,0.292,11,-8.357,0,0.505,27,1
2361,2361,0.242,57.538,1,0,come undone,1993,0.724556536,0.493867713,3.199,5,-11.315,1,0.475,41,1
2362,2362,0.443,124.867,4,1,the power of love,1994,0.338093922,0.258290686,0.409,10,-10.169,1,0.165,4,1
2363,2363,0.573,109.915,4,0.952,someday,2004,0.934935267,0.787005469,0.159,1,-7.892,0,0.565,17,1
2364,2364,0.386,122.34,4,0.393,these eyes,1969,0.680637854,0.407110028,0.241,4,-6.635,1,0.509,44,1
2366,2366,0.382,116.952,3,0.367,again,2001,0.513750465,0.394004687,0.102,8,-7.943,1,0.47,9,1
2367,2367,0,161.57,4,0,victory,1998,0.568274316,0.387729142,0.142,8,-12.818,0,0.118,68,0
2369,2369,0.661,121.247,4,0.365,my cherie amour,1969,0.4172664,0.276198051,0.316,0,-9.656,0,0.406,32,1
2370,2370,0.861,101.988,3,0.289,one more chance,1995,0.729688339,0.569128289,2.769,9,-7.255,1,0.871,23,1
2371,2371,0.927,117.735,4,1,word up,1986,0.571293472,0.370578393,3.396,6,-6.092,0,0.903,68,0
2372,2372,0.01,88.5,4,0.768,crying,1981,0.506052828,0.346779531,0,6,-11.962,0,0.163,40,1
2373,2373,0,98.919,4,0.609,desire,1988,0.749373156,0.486996307,4.685,1,-12.303,1,0,56,0
2374,2374,0.497,117.348,4,0.087,runaway train,1993,0.690080124,0.466775622,0.56,0,-7.587,1,0.561,22,1
2375,2375,0.424,142.972,4,0.792,sunshine,2004,0.503440632,0.326363797,3.994,5,-6.316,0,0.514,20,1
2376,2376,0.243,97.388,5,1,amazing,1994,0.57397529,0.34470543,0,5,-7.036,0,0.333,72,0
2377,2377,0.745,90.378,3,0.693,tragedy,1979,0.503820983,0.397711071,0.14,1,-11.576,1,0.662,16,1
2378,2378,0.027,145.698,4,1,love song,2008,0.678103259,0.448185991,0,7,-5.641,0,0.534,7,1
2379,2379,0.201,67.609,4,0.453,again,2001,0.811698706,0.570355262,2.49,8,-9.344,1,0.405,9,1
2380,2380,0.873,137.981,4,0.896,angel,2003,0.525185182,0.365311776,0.223,0,-11.023,0,1,69,0
2381,2381,0.458,140.525,4,0,here we go again,1993,0.744020405,0.672402524,2.955,9,-14.386,1,0.467,59,0
2382,2382,0.479,140.932,4,0.682,the entertainer,1974,0.589896094,0.407118941,0,0,-18.571,1,0.497,48,1
2383,2383,0.063,84.608,4,0.369,when can i see you,1994,0.734764997,0.553991397,1.094,2,-12.105,1,0.387,26,1
2385,2385,0.784,142.778,4,0.074,temptation,1991,0.642280769,0.411195688,0.287,6,-8.796,1,0.648,58,0
2386,2386,0.21,102.996,4,0.978,sara,1986,0.857694331,0.461687272,2.589,3,-5.246,1,0.359,24,1
2387,2387,0.626,118.014,4,0.916,without me,2002,0.46117348,0.294037483,0,10,-7.599,0,0.563,21,1
2388,2388,0.158,136.594,4,0.695,hold on,1995,0.502797386,0.340099198,0.223,9,-2.936,1,0.252,52,0
2389,2389,0.183,113.519,4,0.99,temptation,1991,0.84388164,0.51000315,0,7,-5.876,1,0.562,58,0
2390,2390,0.436,95.974,1,1,everything,1990,0.495580633,0.316660991,3.46,5,-13.08,0,0.517,41,1
2391,2391,0.595,93.1,4,0.67,i remember,2008,0.517249579,0.340594158,0.154,6,-6.589,1,0.553,89,0
2392,2392,0.75,106.733,4,0.676,spanish harlem,1971,0.680549295,0.502711007,4.4,1,-12.94,1,0.649,49,1
2393,2393,0.514,102.578,4,1,crazy,2006,0.79328795,0.493262455,2.879,11,-9.129,1,0.437,7,1
2395,2395,0.75,117.549,4,0.818,respect,1967,0.521883059,0.349197098,0.798,7,-11.194,1,0.613,13,1
2396,2396,0,137.887,4,0.757,sunshine,2004,0.632359596,0.392821223,0.09,9,-6.192,0,0,20,1
2398,2398,0.484,138.4,4,0.461,simon says,1968,0.529543812,0.354853938,0.432,9,-16.468,1,0.45,33,1
2399,2399,0.618,124.905,4,0.738,respect,1967,0.51103019,0.354164535,0.206,0,-13.324,1,0.617,13,1
2400,2400,0,140.983,4,0.255,the great escape,2007,0.721165514,0.440824361,0.322,11,-4.554,0,0.263,77,0
2401,2401,0.037,193.206,4,0.061,joyride,1991,0.465532749,0.199002582,0.154,2,-5.774,1,0.34,23,1
2402,2402,0,75.891,7,0.831,nobody but me,1968,0.64160865,0.423651574,0.188,3,-20.093,1,0,67,0
2403,2403,0.563,108.159,4,0.475,sometimes,1999,0.566236917,0.379133488,0.322,2,-13.247,1,0.609,86,0
2404,2404,0,127.987,4,0.761,addicted,2008,0.436082813,0.363203037,0,0,-7.825,1,0.051,97,0
2405,2405,0.065,116.705,4,0.416,heart and soul,1987,0.605420516,0.417707455,0,2,-5.822,1,0.516,33,1
2406,2406,0.636,109.643,5,0.389,my life,2008,0.580967646,0.297156351,0.127,11,-4.326,1,0.738,88,0
2407,2407,0.216,163.849,4,0.904,down,2010,0.623466004,0.373724293,0,2,-10.185,1,0.316,41,1
2408,2408,0.609,144.932,4,0.42,always on my mind,1988,0.743505061,0.503136873,0,7,-7.59,1,0.652,80,0
2409,2409,0.14,75.628,5,0.848,goodbye,2009,0.52745819,0.391064502,0.369,2,-13.773,1,0.253,96,0
2410,2410,0.017,77.46,7,0.97,fast car,1988,0.715110954,0.458580135,0.3,2,-19.998,1,0.227,76,0
2411,2411,0.62,66.36,1,0.294,crazy,2006,0.574746865,0.367368691,3.437,1,-14.442,1,0.604,7,1
2412,2412,0.578,153.652,4,0.314,trouble,1982,0.509715089,0.364587491,2.345,4,-7.432,1,0.409,45,1
2413,2413,0.51,166.02,4,1,obsession,1985,0.759790755,0.565277134,0,1,-3.501,1,0.43,56,0
2414,2414,0.377,94.148,1,0,a groovy kind of love,1988,0.556410013,0.396596275,0.247,1,-9.082,0,0.419,29,1
